-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1998 through 12/31/2012 
Location: Latitude  30.6923   Longitude 74.7757 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 204.83 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
30.69231,74.77571,PRECTOT,1998,    0.38,   31.54,    9.28,    7.49,    1.84,   33.37,   85.12,   43.67,   43.04,   24.87,    0.02,    0.00,  280.62
30.69231,74.77571,PRECTOT,1999,   31.45,    2.36,    1.45,    0.27,    8.18,   44.11,   42.87,   74.34,   30.67,    0.55,    0.96,    0.00,  237.21
30.69231,74.77571,PRECTOT,2000,   27.32,   15.22,    1.32,    0.44,   11.92,   55.86,   96.86,   35.10,   24.34,    0.05,    2.11,    3.55,  274.09
30.69231,74.77571,PRECTOT,2001,    6.66,    3.15,   13.05,   13.02,   30.62,   68.32,  168.04,   57.53,   21.29,    0.16,    0.26,    6.32,  388.41
30.69231,74.77571,PRECTOT,2002,    1.21,   13.78,   11.20,    3.40,   21.49,   19.76,   36.49,   80.77,   65.63,    1.62,    0.17,    8.77,  264.29
30.69231,74.77571,PRECTOT,2003,   15.80,   58.45,   14.06,    2.40,    7.75,   41.09,  161.73,   88.39,   45.71,    0.19,    5.15,    9.07,  449.78
30.69231,74.77571,PRECTOT,2004,   25.44,    6.36,    0.00,   21.56,   26.78,   66.40,   78.44,  106.27,    6.26,   19.05,    0.82,   16.72,  374.11
30.69231,74.77571,PRECTOT,2005,   31.09,   47.74,   56.01,    9.69,   12.69,   63.77,  120.27,   49.96,   84.48,    1.56,    3.34,    0.00,  480.61
30.69231,74.77571,PRECTOT,2006,    8.62,    2.97,   38.46,    1.31,   17.85,   88.11,  144.22,   69.93,   95.46,   26.40,    7.58,   16.36,  517.28
30.69231,74.77571,PRECTOT,2007,    0.59,   79.39,   36.83,    7.61,   14.60,  109.82,   51.94,   70.80,   55.67,    1.04,    5.31,    3.26,  436.86
30.69231,74.77571,PRECTOT,2008,   15.20,    4.48,    0.04,   33.04,   40.79,  146.45,  130.23,  233.21,   61.31,    6.83,    1.16,    5.56,  678.30
30.69231,74.77571,PRECTOT,2009,   19.35,   19.74,   33.40,   16.79,   16.17,   18.99,   84.13,   90.23,   53.57,    1.16,    4.40,    0.01,  357.93
30.69231,74.77571,PRECTOT,2010,    3.88,    9.78,    1.89,    0.91,    5.63,   44.66,  170.89,  135.90,  113.55,    2.14,    0.07,   14.46,  503.77
30.69231,74.77571,PRECTOT,2011,    0.86,   24.56,    4.64,   24.59,   17.97,   85.67,   79.74,  174.48,  130.65,    0.16,    1.52,    1.03,  545.87
30.69231,74.77571,PRECTOT,2012,   17.73,    3.52,    2.90,   29.58,    2.09,   10.48,   69.35,   95.13,  146.49,   11.18,    0.54,   12.30,  401.29
30.69231,74.77571,T2M_MAX,1998,   21.05,   24.24,   29.80,   39.16,   44.33,   43.35,   41.32,   41.35,   38.98,   35.21,   31.06,   26.42,   34.74
30.69231,74.77571,T2M_MAX,1999,   20.99,   26.13,   33.45,   41.43,   43.60,   43.97,   42.88,   41.34,   41.12,   37.24,   31.24,   25.99,   35.82
30.69231,74.77571,T2M_MAX,2000,   22.56,   22.78,   31.55,   41.26,   45.07,   43.10,   40.13,   41.14,   40.47,   38.00,   30.06,   25.58,   35.17
30.69231,74.77571,T2M_MAX,2001,   22.35,   27.29,   32.92,   37.73,   44.08,   41.71,   37.89,   39.03,   39.70,   37.03,   30.64,   24.65,   34.61
30.69231,74.77571,T2M_MAX,2002,   22.45,   25.37,   33.53,   40.34,   45.53,   45.39,   44.60,   41.12,   37.37,   35.62,   29.94,   24.82,   35.56
30.69231,74.77571,T2M_MAX,2003,   22.21,   24.38,   30.31,   39.34,   42.60,   44.84,   37.84,   37.76,   37.67,   34.97,   28.47,   23.62,   33.70
30.69231,74.77571,T2M_MAX,2004,   20.93,   27.10,   35.99,   40.09,   42.70,   42.56,   42.39,   38.12,   40.09,   33.14,   29.94,   24.98,   34.84
30.69231,74.77571,T2M_MAX,2005,   19.90,   21.56,   29.61,   36.17,   40.70,   44.79,   38.73,   41.07,   37.43,   35.16,   28.94,   23.65,   33.20
30.69231,74.77571,T2M_MAX,2006,   21.39,   30.27,   30.27,   38.87,   44.63,   41.22,   39.31,   37.88,   35.67,   34.45,   27.94,   21.93,   33.66
30.69231,74.77571,T2M_MAX,2007,   22.04,   23.38,   29.08,   40.23,   42.90,   42.82,   40.81,   39.55,   38.04,   35.35,   29.98,   22.41,   33.93
30.69231,74.77571,T2M_MAX,2008,   19.84,   24.83,   35.22,   36.68,   41.18,   39.95,   38.54,   34.85,   35.43,   34.44,   29.63,   24.95,   32.98
30.69231,74.77571,T2M_MAX,2009,   22.69,   25.99,   32.40,   37.23,   43.09,   44.28,   41.68,   40.34,   37.30,   34.79,   27.78,   23.70,   34.31
30.69231,74.77571,T2M_MAX,2010,   22.78,   25.99,   35.84,   41.40,   44.08,   43.14,   38.79,   36.10,   34.69,   33.82,   28.67,   22.02,   33.98
30.69231,74.77571,T2M_MAX,2011,   20.69,   23.97,   32.71,   36.08,   43.84,   42.39,   39.65,   36.04,   33.45,   33.55,   29.22,   23.21,   32.95
30.69231,74.77571,T2M_MAX,2012,   19.77,   23.26,   31.54,   36.17,   42.20,   45.10,   42.22,   38.48,   35.17,   32.87,   27.76,   23.27,   33.17
30.69231,74.77571,T2M_MIN,1998,    5.86,    8.91,   12.51,   21.66,   26.90,   29.36,   30.41,   29.76,   26.86,   19.63,   14.33,    9.48,   19.69
30.69231,74.77571,T2M_MIN,1999,    7.09,   10.20,   14.82,   21.34,   27.23,   30.03,   31.25,   28.96,   27.04,   19.70,   14.29,   10.10,   20.22
30.69231,74.77571,T2M_MIN,2000,    7.62,    6.94,   12.62,   22.35,   28.90,   29.44,   29.61,   29.52,   25.77,   20.08,   14.46,    9.43,   19.76
30.69231,74.77571,T2M_MIN,2001,    6.16,    9.43,   15.24,   20.32,   28.13,   29.95,   28.91,   27.31,   24.97,   20.71,   14.34,   10.30,   19.70
30.69231,74.77571,T2M_MIN,2002,    7.82,    8.39,   15.76,   22.23,   28.15,   30.86,   32.28,   29.15,   23.86,   19.98,   15.58,   10.26,   20.43
30.69231,74.77571,T2M_MIN,2003,    6.91,    9.73,   13.80,   21.28,   25.83,   31.36,   28.23,   27.44,   25.38,   18.98,   12.63,    9.62,   19.31
30.69231,74.77571,T2M_MIN,2004,    8.17,    9.85,   17.04,   23.49,   25.91,   29.84,   30.57,   27.43,   25.56,   18.87,   15.32,   10.06,   20.19
30.69231,74.77571,T2M_MIN,2005,    6.23,    8.59,   15.28,   18.35,   25.26,   30.94,   28.57,   29.29,   25.54,   19.17,   13.52,    7.95,   19.11
30.69231,74.77571,T2M_MIN,2006,    6.46,   14.03,   14.73,   21.17,   29.31,   28.88,   29.05,   27.92,   23.84,   20.54,   14.45,    8.13,   19.90
30.69231,74.77571,T2M_MIN,2007,    5.98,   10.42,   13.36,   22.47,   27.67,   30.63,   30.14,   29.08,   26.36,   19.53,   14.70,    8.01,   19.90
30.69231,74.77571,T2M_MIN,2008,    5.76,    7.52,   17.33,   19.82,   26.63,   29.32,   28.30,   25.72,   23.24,   19.88,   13.60,   10.45,   19.00
30.69231,74.77571,T2M_MIN,2009,    8.28,    9.60,   15.20,   19.62,   27.17,   29.68,   30.92,   29.72,   24.12,   19.62,   13.45,    9.36,   19.79
30.69231,74.77571,T2M_MIN,2010,    7.17,    9.99,   18.12,   24.18,   27.90,   29.88,   29.04,   26.90,   23.74,   19.94,   13.93,    7.60,   19.91
30.69231,74.77571,T2M_MIN,2011,    5.20,    9.16,   15.03,   19.93,   28.21,   29.83,   29.23,   27.19,   24.40,   19.38,   15.16,    8.69,   19.33
30.69231,74.77571,T2M_MIN,2012,    5.73,    6.70,   13.50,   21.18,   26.40,   31.13,   30.74,   28.54,   23.72,   17.74,   13.04,    7.90,   18.89
