-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1998 through 12/31/2012 
Location: Latitude  31.532   Longitude 75.9101 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 431.02 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
31.53201,75.91011,PRECTOT,1998,    0.86,   23.74,   12.22,   14.12,    5.27,   34.48,  121.65,   96.56,   29.40,   28.88,    0.02,    0.00,  367.21
31.53201,75.91011,PRECTOT,1999,   43.30,    1.35,    6.96,    0.58,    7.10,   66.20,   63.75,  155.24,   73.32,    2.83,    5.75,    0.00,  426.39
31.53201,75.91011,PRECTOT,2000,   43.64,   26.57,    4.68,    1.16,   24.77,   78.81,  170.62,  120.45,   63.73,    0.01,    2.98,    3.61,  541.02
31.53201,75.91011,PRECTOT,2001,   10.35,    5.77,   17.45,   19.32,   38.25,  100.82,  340.22,   56.74,   29.47,    1.04,    2.34,    6.95,  628.72
31.53201,75.91011,PRECTOT,2002,    3.86,   22.43,   20.23,   11.27,    9.48,   37.64,   84.94,  182.24,  129.82,    4.39,    0.67,    6.80,  513.78
31.53201,75.91011,PRECTOT,2003,   26.28,  105.54,   30.86,    8.24,    8.27,   68.19,  209.00,  183.68,   82.88,    1.68,   11.57,   30.89,  767.09
31.53201,75.91011,PRECTOT,2004,   44.85,   12.05,    0.26,   39.98,   25.84,   64.48,  149.15,  213.07,    5.66,   31.63,    0.64,   17.89,  605.50
31.53201,75.91011,PRECTOT,2005,   58.48,   59.09,   67.93,   14.94,    5.70,   92.36,  174.98,  104.72,  115.49,    5.44,    2.17,    0.02,  701.33
31.53201,75.91011,PRECTOT,2006,   19.25,    8.25,   54.31,    1.65,   23.52,   93.02,  333.75,  134.37,  201.23,   44.85,   12.31,   22.24,  948.78
31.53201,75.91011,PRECTOT,2007,    1.13,  123.29,   88.61,    3.48,   22.67,  122.55,  120.36,  213.43,   45.65,    1.87,    9.27,    3.22,  755.53
31.53201,75.91011,PRECTOT,2008,   32.05,    9.97,    0.75,   51.05,   53.38,  243.32,  275.69,  403.71,  111.91,   21.20,    1.89,   11.66, 1216.60
31.53201,75.91011,PRECTOT,2009,   34.31,   33.80,   36.95,   26.31,   14.11,   21.45,  142.50,  150.90,   68.16,    3.44,   10.33,    0.20,  542.47
31.53201,75.91011,PRECTOT,2010,    7.36,   19.80,    4.23,    2.32,   19.51,   60.50,  364.40,  203.60,  172.17,    7.68,    1.30,   25.43,  888.30
31.53201,75.91011,PRECTOT,2011,    2.10,   38.37,    9.63,   31.17,   14.19,  139.41,  187.76,  317.68,  117.95,    2.72,    3.47,    2.24,  866.69
31.53201,75.91011,PRECTOT,2012,   43.61,   11.49,    6.30,   52.10,    2.64,    9.58,  159.96,  149.30,  139.02,    7.05,    1.64,   26.96,  609.65
31.53201,75.91011,T2M_MAX,1998,   19.38,   22.48,   27.20,   36.55,   41.93,   41.67,   38.90,   37.71,   36.87,   33.04,   29.16,   24.30,   32.48
31.53201,75.91011,T2M_MAX,1999,   19.27,   24.72,   31.09,   39.05,   41.66,   41.35,   40.37,   37.59,   37.26,   33.71,   28.48,   24.02,   33.25
31.53201,75.91011,T2M_MAX,2000,   20.94,   20.71,   29.01,   38.89,   42.68,   40.55,   37.09,   37.24,   36.09,   34.18,   27.60,   24.14,   32.45
31.53201,75.91011,T2M_MAX,2001,   20.79,   25.61,   30.37,   35.47,   41.47,   39.26,   34.42,   34.98,   36.46,   34.23,   28.57,   23.23,   32.09
31.53201,75.91011,T2M_MAX,2002,   21.04,   23.65,   30.88,   38.08,   43.61,   43.06,   42.35,   37.11,   33.32,   32.06,   27.25,   22.79,   32.98
31.53201,75.91011,T2M_MAX,2003,   20.75,   22.29,   27.90,   36.16,   40.02,   42.68,   35.80,   34.42,   34.04,   31.89,   26.02,   21.85,   31.19
31.53201,75.91011,T2M_MAX,2004,   19.33,   24.85,   33.22,   37.59,   40.40,   40.31,   39.30,   34.35,   36.08,   30.27,   27.43,   23.29,   32.21
31.53201,75.91011,T2M_MAX,2005,   18.90,   19.76,   27.72,   33.74,   38.37,   42.24,   35.69,   37.13,   34.70,   32.18,   26.64,   22.15,   30.82
31.53201,75.91011,T2M_MAX,2006,   20.22,   28.42,   28.14,   36.10,   41.83,   39.84,   35.49,   33.31,   31.39,   30.82,   25.57,   20.38,   30.95
31.53201,75.91011,T2M_MAX,2007,   20.43,   20.44,   25.91,   36.57,   39.69,   40.84,   37.88,   35.00,   34.41,   32.49,   27.39,   21.17,   31.06
31.53201,75.91011,T2M_MAX,2008,   18.25,   22.51,   32.68,   34.35,   38.60,   36.62,   34.22,   31.54,   30.71,   30.34,   26.62,   23.10,   29.98
31.53201,75.91011,T2M_MAX,2009,   21.17,   24.14,   29.41,   34.78,   40.37,   42.31,   39.43,   36.40,   34.37,   32.13,   26.03,   21.91,   31.91
31.53201,75.91011,T2M_MAX,2010,   21.58,   24.08,   33.41,   39.06,   41.67,   40.93,   36.04,   32.28,   31.30,   30.29,   26.58,   20.35,   31.49
31.53201,75.91011,T2M_MAX,2011,   19.31,   21.61,   29.66,   33.46,   41.37,   38.93,   36.11,   32.25,   31.08,   30.55,   26.84,   21.64,   30.28
31.53201,75.91011,T2M_MAX,2012,   17.85,   20.88,   28.85,   33.47,   39.59,   43.22,   39.35,   35.19,   33.41,   31.38,   26.34,   22.08,   30.99
31.53201,75.91011,T2M_MIN,1998,    7.40,   10.05,   13.11,   20.96,   25.60,   27.71,   28.48,   27.12,   25.52,   19.66,   14.52,   10.26,   19.24
31.53201,75.91011,T2M_MIN,1999,    8.35,   11.58,   15.36,   21.48,   26.09,   27.33,   29.09,   26.57,   24.70,   18.28,   14.82,   10.79,   19.57
31.53201,75.91011,T2M_MIN,2000,    8.89,    8.37,   13.31,   21.68,   27.48,   27.70,   27.59,   26.69,   23.46,   18.90,   14.88,   11.06,   19.20
