district,year,crop,season,area,AvgRain,AvgTemp
BATHINDA,2007,Rice,Kharif,86000,34.32166667,27.13208333
KAPURTHALA,2004,Sesamum,Kharif,200,39.37333333,27.00041667
SANGRUR,2005,Groundnut,Kharif,100,42.3725,25.96541667
BATHINDA,2012,Moong,Kharif,400,32.535,26.11958333
FATEHGARH SAHIB,1999,Wheat,Rabi,86000,33.88083333,27.225
PATIALA,2002,Moong,Kharif,200,34.91833333,27.35083333
SANGRUR,2004,Rapeseed &Mustard,Rabi,3000,36.56,26.97916667
SANGRUR,2004,Cotton(lint),Kharif,19000,36.56,26.97916667
FIROZPUR,1998,Gram,Rabi,2800,23.385,27.16416667
FARIDKOT,2010,Rice,Kharif,101000,41.98083333,26.90458333
AMRITSAR,1999,Rice,Kharif,319000,26.2825,27.5775
HOSHIARPUR,2001,Moong,Kharif,100,52.39333333,25.55375
NAWANSHAHR,1999,Rice,Kharif,46000,32.2,27.14458333
BATHINDA,2012,Barley,Rabi,2000,32.535,26.11958333
KAPURTHALA,2003,Wheat,Rabi,112000,45.74166667,26.11833333
BATHINDA,2009,Groundnut,Kharif,100,28.33083333,27.18125
AMRITSAR,2012,Sugarcane,Whole year,4000,43.16083333,25.68208333
MOGA,2004,Cotton(lint),Kharif,6000,34.83166667,27.175
AMRITSAR,2009,Sugarcane,Whole year,300,36.28416667,26.58416667
ROPAR(RUPNAGAR),2006,Rapeseed &Mustard,Rabi,1000,74.93,22.07166667
HOSHIARPUR,2010,Masoor,Rabi,300,74.025,25.52458333
FIROZPUR,2003,Rapeseed &Mustard,Rabi,12000,37.48166667,26.46666667
AMRITSAR,2004,Wheat,Rabi,372000,42.83916667,26.97333333
MANSA,2000,Bajra,Kharif,1000,20.04,27.54625
SANGRUR,2003,Sugarcane,Whole year,3000,47.79916667,26.00041667
JALANDHAR,2007,Rice,Kharif,149000,50.2,26.05
BATHINDA,2007,Rapeseed &Mustard,Rabi,2000,34.32166667,27.13208333
HOSHIARPUR,2006,Maize,Kharif,68000,79.065,25.21916667
MANSA,1998,Wheat,Rabi,159000,37.6275,26.63166667
ROPAR(RUPNAGAR),1999,Arhar (Tur),Kharif,600,46.96833333,22.78166667
HOSHIARPUR,2012,Arhar (Tur),Kharif,100,50.80416667,24.88833333
SANGRUR,2010,Rapeseed &Mustard,Rabi,1000,52.72333333,26.49541667
AMRITSAR,2006,Masoor,Rabi,100,70.41083333,25.94375
LUDHIANA,1999,Arhar (Tur),Kharif,2300,26.82583333,27.4475
MUKATSAR,2003,Wheat,Rabi,197000,37.2525,26.53791667
PATIALA,1999,Maize,Kharif,5000,27.9,27.38375
GURDASPUR,2012,Rapeseed &Mustard,Rabi,2000,53.06583333,24.24916667
PATIALA,2000,Sugarcane,Whole year,3000,45.66416667,26.55958333
FATEHGARH SAHIB,2012,Guar seed,Whole year,11700,45.86166667,25.75541667
FARIDKOT,2004,Rapeseed &Mustard,Rabi,1000,31.17583333,27.50583333
KAPURTHALA,2000,Wheat,Rabi,111000,31.97916667,26.95833333
PATIALA,2003,Gram,Rabi,100,59.54583333,25.72875
JALANDHAR,2001,Moong,Kharif,200,45.6625,26.32708333
PATIALA,2000,Wheat,Rabi,261000,45.66416667,26.55958333
LUDHIANA,1999,Sugarcane,Whole year,6000,26.82583333,27.4475
JALANDHAR,2010,Sesamum,Kharif,400,62.85666667,26.25416667
ROPAR(RUPNAGAR),1999,Rapeseed &Mustard,Rabi,2000,46.96833333,22.78166667
PATIALA,2009,Rice,Kharif,240000,44.6925,26.52083333
MUKATSAR,2012,Rapeseed &Mustard,Rabi,1000,32.535,26.11958333
MUKATSAR,2004,Arhar (Tur),Kharif,100,27.58,27.69083333
PATIALA,1998,Sugarcane,Whole year,3000,48.2775,25.91208333
LUDHIANA,2012,Guar seed,Whole year,100,38.71666667,25.77541667
HOSHIARPUR,1999,Peas & Beans (Pulses),Rabi,1100,35.5325,26.37541667
FARIDKOT,2003,Moong,Kharif,1000,37.48166667,26.46666667
BATHINDA,2007,Bajra,Kharif,1000,34.32166667,27.13208333
MUKATSAR,2000,Other Rabi Pulses,Rabi,300,20.26666667,27.59791667
SANGRUR,2007,Groundnut,Kharif,100,38.79416667,26.70541667
MOGA,2008,Rapeseed &Mustard,Rabi,1000,65.0225,25.5625
AMRITSAR,2008,Sesamum,Kharif,2000,78.35166667,25.32708333
FARIDKOT,1999,Rice,Kharif,90000,19.7675,27.97625
KAPURTHALA,2004,Sugarcane,Whole year,5000,39.37333333,27.00041667
AMRITSAR,1998,Urad,Kharif,400,21.14916667,27.10916667
FIROZPUR,2000,Cotton(lint),Kharif,114000,22.84083333,27.435
LUDHIANA,2004,Rapeseed &Mustard,Rabi,2000,40.8975,26.84208333
FATEHGARH SAHIB,2000,Rice,Kharif,84000,53.16583333,26.38208333
JALANDHAR,2006,Rice,Kharif,147000,63.88833333,26.04791667
BATHINDA,2008,Rice,Kharif,97000,49.255,26.26333333
FATEHGARH SAHIB,1999,Barley,Rabi,1000,33.88083333,27.225
