,state,district,year,crop,season,area,production,yield
0,PUNJAB,AMRITSAR,1998,Rice,Kharif,305000.0,878000.0,2.87868852459
1,PUNJAB,AMRITSAR,1999,Rice,Kharif,319000.0,991000.0,3.1065830721
2,PUNJAB,AMRITSAR,2000,Rice,Kharif,319000.0,972000.0,3.04702194357
3,PUNJAB,AMRITSAR,2001,Rice,Kharif,319000.0,958000.0,3.00313479624
4,PUNJAB,AMRITSAR,2002,Rice,Kharif,311000.0,879000.0,2.82636655949
5,PUNJAB,AMRITSAR,2003,Rice,Kharif,326000.0,872000.0,2.67484662577
6,PUNJAB,AMRITSAR,2004,Rice,Kharif,334000.0,1034000.0,3.09580838323
7,PUNJAB,AMRITSAR,2005,Rice,Kharif,345000.0,1003000.0,2.90724637681
8,PUNJAB,AMRITSAR,2006,Rice,Kharif,178000.0,538000.0,3.02247191011
9,PUNJAB,AMRITSAR,2007,Rice,Kharif,178000.0,546000.0,3.06741573034
10,PUNJAB,AMRITSAR,2008,Rice,Kharif,183000.0,532000.0,2.90710382514
11,PUNJAB,AMRITSAR,2009,Rice,Kharif,185000.0,501000.0,2.70810810811
12,PUNJAB,AMRITSAR,2010,Rice,Kharif,186000.0,503000.0,2.70430107527
13,PUNJAB,AMRITSAR,2012,Rice,Kharif,183000.0,538000.0,2.93989071038
14,PUNJAB,BATHINDA,1998,Rice,Kharif,84000.0,287000.0,3.41666666667
15,PUNJAB,BATHINDA,1999,Rice,Kharif,99000.0,392000.0,3.9595959596
16,PUNJAB,BATHINDA,2000,Rice,Kharif,99000.0,350000.0,3.53535353535
17,PUNJAB,BATHINDA,2001,Rice,Kharif,82000.0,307000.0,3.74390243902
18,PUNJAB,BATHINDA,2002,Rice,Kharif,107000.0,367000.0,3.42990654206
19,PUNJAB,BATHINDA,2003,Rice,Kharif,105000.0,419000.0,3.99047619048
20,PUNJAB,BATHINDA,2004,Rice,Kharif,102000.0,415000.0,4.06862745098
21,PUNJAB,BATHINDA,2005,Rice,Kharif,95000.0,385000.0,4.05263157895
22,PUNJAB,BATHINDA,2006,Rice,Kharif,87000.0,358000.0,4.11494252874
23,PUNJAB,BATHINDA,2007,Rice,Kharif,86000.0,368000.0,4.27906976744
24,PUNJAB,BATHINDA,2008,Rice,Kharif,97000.0,427000.0,4.40206185567
25,PUNJAB,BATHINDA,2009,Rice,Kharif,104000.0,476000.0,4.57692307692
26,PUNJAB,BATHINDA,2010,Rice,Kharif,107000.0,437000.0,4.08411214953
27,PUNJAB,BATHINDA,2012,Rice,Kharif,107000.0,458000.0,4.28037383178
28,PUNJAB,FARIDKOT,1998,Rice,Kharif,82000.0,246000.0,3.0
29,PUNJAB,FARIDKOT,1999,Rice,Kharif,90000.0,305000.0,3.38888888889
30,PUNJAB,FARIDKOT,2000,Rice,Kharif,90000.0,310000.0,3.44444444444
31,PUNJAB,FARIDKOT,2001,Rice,Kharif,70000.0,267000.0,3.81428571429
32,PUNJAB,FARIDKOT,2002,Rice,Kharif,86000.0,280000.0,3.25581395349
33,PUNJAB,FARIDKOT,2003,Rice,Kharif,84000.0,308000.0,3.66666666667
34,PUNJAB,FARIDKOT,2004,Rice,Kharif,88000.0,337000.0,3.82954545455
35,PUNJAB,FARIDKOT,2005,Rice,Kharif,86000.0,339000.0,3.94186046512
36,PUNJAB,FARIDKOT,2006,Rice,Kharif,85000.0,338000.0,3.97647058824
37,PUNJAB,FARIDKOT,2007,Rice,Kharif,87000.0,351000.0,4.03448275862
38,PUNJAB,FARIDKOT,2008,Rice,Kharif,95000.0,414000.0,4.35789473684
39,PUNJAB,FARIDKOT,2009,Rice,Kharif,98000.0,414000.0,4.22448979592
40,PUNJAB,FARIDKOT,2010,Rice,Kharif,101000.0,409000.0,4.0495049505
41,PUNJAB,FARIDKOT,2012,Rice,Kharif,102000.0,444000.0,4.35294117647
42,PUNJAB,FATEHGARH SAHIB,1998,Rice,Kharif,83000.0,271000.0,3.26506024096
43,PUNJAB,FATEHGARH SAHIB,1999,Rice,Kharif,82000.0,302000.0,3.68292682927
44,PUNJAB,FATEHGARH SAHIB,2000,Rice,Kharif,84000.0,350000.0,4.16666666667
45,PUNJAB,FATEHGARH SAHIB,2001,Rice,Kharif,81000.0,324000.0,4.0
46,PUNJAB,FATEHGARH SAHIB,2002,Rice,Kharif,80000.0,312000.0,3.9
47,PUNJAB,FATEHGARH SAHIB,2003,Rice,Kharif,83000.0,364000.0,4.38554216867
48,PUNJAB,FATEHGARH SAHIB,2004,Rice,Kharif,85000.0,371000.0,4.36470588235
49,PUNJAB,FATEHGARH SAHIB,2005,Rice,Kharif,85000.0,361000.0,4.24705882353
50,PUNJAB,FATEHGARH SAHIB,2006,Rice,Kharif,84000.0,340000.0,4.04761904762
51,PUNJAB,FATEHGARH SAHIB,2007,Rice,Kharif,84000.0,383000.0,4.55952380952
52,PUNJAB,FATEHGARH SAHIB,2008,Rice,Kharif,85000.0,363000.0,4.27058823529
53,PUNJAB,FATEHGARH SAHIB,2009,Rice,Kharif,86000.0,391000.0,4.54651162791
54,PUNJAB,FATEHGARH SAHIB,2010,Rice,Kharif,87000.0,366000.0,4.20689655172
55,PUNJAB,FATEHGARH SAHIB,2012,Rice,Kharif,86000.0,384000.0,4.46511627907
56,PUNJAB,FIROZPUR,1998,Rice,Kharif,275000.0,922000.0,3.35272727273
57,PUNJAB,FIROZPUR,1999,Rice,Kharif,280000.0,982000.0,3.50714285714
58,PUNJAB,FIROZPUR,2000,Rice,Kharif,248000.0,898000.0,3.62096774194
59,PUNJAB,FIROZPUR,2001,Rice,Kharif,230000.0,864000.0,3.75652173913
60,PUNJAB,FIROZPUR,2002,Rice,Kharif,234000.0,824000.0,3.52136752137
61,PUNJAB,FIROZPUR,2003,Rice,Kharif,244000.0,903000.0,3.70081967213
62,PUNJAB,FIROZPUR,2004,Rice,Kharif,238000.0,941000.0,3.95378151261
63,PUNJAB,FIROZPUR,2005,Rice,Kharif,236000.0,956000.0,4.05084745763
64,PUNJAB,FIROZPUR,2006,Rice,Kharif,235000.0,948000.0,4.03404255319
65,PUNJAB,FIROZPUR,2007,Rice,Kharif,243000.0,1010000.0,4.15637860082
66,PUNJAB,FIROZPUR,2008,Rice,Kharif,260000.0,1051000.0,4.04230769231
67,PUNJAB,FIROZPUR,2009,Rice,Kharif,262000.0,964000.0,3.67938931298
68,PUNJAB,FIROZPUR,2010,Rice,Kharif,258000.0,954000.0,3.6976744186
69,PUNJAB,FIROZPUR,2012,Rice,Kharif,267000.0,1057000.0,3.95880149813
70,PUNJAB,GURDASPUR,1998,Rice,Kharif,187000.0,465000.0,2.48663101604
71,PUNJAB,GURDASPUR,1999,Rice,Kharif,198000.0,561000.0,2.83333333333
72,PUNJAB,GURDASPUR,2000,Rice,Kharif,191000.0,569000.0,2.97905759162
73,PUNJAB,GURDASPUR,2001,Rice,Kharif,194000.0,571000.0,2.94329896907
74,PUNJAB,GURDASPUR,2002,Rice,Kharif,189000.0,547000.0,2.89417989418
75,PUNJAB,GURDASPUR,2003,Rice,Kharif,193000.0,587000.0,3.0414507772
76,PUNJAB,GURDASPUR,2004,Rice,Kharif,202000.0,641000.0,3.17326732673
77,PUNJAB,GURDASPUR,2005,Rice,Kharif,190000.0,590000.0,3.10526315789
78,PUNJAB,GURDASPUR,2006,Rice,Kharif,201000.0,636000.0,3.16417910448
79,PUNJAB,GURDASPUR,2007,Rice,Kharif,191000.0,617000.0,3.23036649215
80,PUNJAB,GURDASPUR,2008,Rice,Kharif,201000.0,663000.0,3.29850746269
81,PUNJAB,GURDASPUR,2009,Rice,Kharif,204000.0,640000.0,3.13725490196
82,PUNJAB,GURDASPUR,2010,Rice,Kharif,204000.0,705000.0,3.45588235294
83,PUNJAB,GURDASPUR,2012,Rice,Kharif,201000.0,617000.0,3.06965174129
84,PUNJAB,HOSHIARPUR,1998,Rice,Kharif,59000.0,171000.0,2.89830508475
85,PUNJAB,HOSHIARPUR,1999,Rice,Kharif,61000.0,178000.0,2.91803278689
86,PUNJAB,HOSHIARPUR,2000,Rice,Kharif,63000.0,192000.0,3.04761904762
87,PUNJAB,HOSHIARPUR,2001,Rice,Kharif,60000.0,171000.0,2.85
88,PUNJAB,HOSHIARPUR,2002,Rice,Kharif,56000.0,159000.0,2.83928571429
89,PUNJAB,HOSHIARPUR,2003,Rice,Kharif,58000.0,179000.0,3.08620689655
90,PUNJAB,HOSHIARPUR,2004,Rice,Kharif,58000.0,171000.0,2.94827586207
91,PUNJAB,HOSHIARPUR,2005,Rice,Kharif,61000.0,182000.0,2.98360655738
92,PUNJAB,HOSHIARPUR,2006,Rice,Kharif,56000.0,157000.0,2.80357142857
93,PUNJAB,HOSHIARPUR,2007,Rice,Kharif,56000.0,185000.0,3.30357142857
94,PUNJAB,HOSHIARPUR,2008,Rice,Kharif,60000.0,209000.0,3.48333333333
95,PUNJAB,HOSHIARPUR,2009,Rice,Kharif,70000.0,248000.0,3.54285714286
96,PUNJAB,HOSHIARPUR,2010,Rice,Kharif,73000.0,261000.0,3.57534246575
97,PUNJAB,HOSHIARPUR,2012,Rice,Kharif,70000.0,252000.0,3.6
98,PUNJAB,JALANDHAR,1998,Rice,Kharif,134000.0,436000.0,3.25373134328
99,PUNJAB,JALANDHAR,1999,Rice,Kharif,133000.0,464000.0,3.48872180451
100,PUNJAB,JALANDHAR,2000,Rice,Kharif,136000.0,488000.0,3.58823529412
101,PUNJAB,JALANDHAR,2001,Rice,Kharif,132000.0,445000.0,3.37121212121
102,PUNJAB,JALANDHAR,2002,Rice,Kharif,133000.0,495000.0,3.72180451128
