,district,year,crop,season,area,production,yield,AvgRain,AvgTemp
0,AMRITSAR,1998,Rice,Kharif,305000,878000.0,2.878688525,21.14916667,27.10916667
1,AMRITSAR,1998,Wheat,Rabi,354000,1567000.0,4.426553672,21.14916667,27.10916667
2,AMRITSAR,1998,Maize,Kharif,6000,14000.0,2.333333333,21.14916667,27.10916667
3,AMRITSAR,1998,Gram,Rabi,200,200.0,1.0,21.14916667,27.10916667
4,AMRITSAR,1998,Arhar (Tur),Kharif,1100,700.0,0.636363636,21.14916667,27.10916667
5,AMRITSAR,1998,Urad,Kharif,400,200.0,0.5,21.14916667,27.10916667
6,AMRITSAR,1998,Moong,Whole year,8300,5100.0,0.614457831,21.14916667,27.10916667
7,AMRITSAR,1998,Masoor,Rabi,700,600.0,0.857142857,21.14916667,27.10916667
8,AMRITSAR,1998,Peas & Beans (Pulses),Rabi,400,300.0,0.75,21.14916667,27.10916667
9,AMRITSAR,1998,Sesamum,Kharif,4700,1500.0,0.319148936,21.14916667,27.10916667
10,AMRITSAR,1998,Rapeseed &Mustard,Rabi,7000,7000.0,1.0,21.14916667,27.10916667
11,AMRITSAR,1998,Cotton(lint),Kharif,4000,3000.0,0.75,21.14916667,27.10916667
12,AMRITSAR,1998,Sugarcane,Whole year,9000,540000.0,60.0,21.14916667,27.10916667
13,AMRITSAR,1999,Rice,Kharif,319000,991000.0,3.106583072,26.2825,27.5775
14,AMRITSAR,1999,Wheat,Rabi,358000,1738000.0,4.854748603,26.2825,27.5775
15,AMRITSAR,1999,Maize,Kharif,5000,12000.0,2.4,26.2825,27.5775
16,AMRITSAR,1999,Gram,Rabi,400,400.0,1.0,26.2825,27.5775
17,AMRITSAR,1999,Arhar (Tur),Kharif,1200,1300.0,1.083333333,26.2825,27.5775
18,AMRITSAR,1999,Urad,Kharif,400,200.0,0.5,26.2825,27.5775
19,AMRITSAR,1999,Moong,Kharif,6300,4700.0,0.746031746,26.2825,27.5775
20,AMRITSAR,1999,Masoor,Rabi,500,500.0,1.0,26.2825,27.5775
21,AMRITSAR,1999,Peas & Beans (Pulses),Rabi,600,600.0,1.0,26.2825,27.5775
22,AMRITSAR,1999,Sesamum,Kharif,6400,1800.0,0.28125,26.2825,27.5775
23,AMRITSAR,1999,Rapeseed &Mustard,Rabi,5000,6000.0,1.2,26.2825,27.5775
24,AMRITSAR,1999,Cotton(lint),Kharif,2000,3000.0,1.5,26.2825,27.5775
25,AMRITSAR,1999,Sugarcane,Whole year,8000,530000.0,66.25,26.2825,27.5775
26,AMRITSAR,2000,Rice,Kharif,319000,972000.0,3.047021944,33.02083333,26.97333333
27,AMRITSAR,2000,Wheat,Rabi,361000,1690000.0,4.681440443,33.02083333,26.97333333
28,AMRITSAR,2000,Maize,Kharif,5000,11000.0,2.2,33.02083333,26.97333333
29,AMRITSAR,2000,Gram,Rabi,500,500.0,1.0,33.02083333,26.97333333
30,AMRITSAR,2000,Arhar (Tur),Kharif,1200,1400.0,1.166666667,33.02083333,26.97333333
31,AMRITSAR,2000,Moong,Kharif,3500,1900.0,0.542857143,33.02083333,26.97333333
